Регионы,Всего,Потребительские_расходы,Продовольственные_товары,Непродовольственные_товары,Платные_услуги,Материальная_помощь_родственникам_и_знакомым_алименты,Налоги_платежи_и_другие_выплаты,Погашение_кредита_и_долга
Абай,758555,713656,391954,187423,134279,6477,1723,36699
Акмолинская,950593,836336,451260,255332,129744,21942,1445,90870
Актюбинская,897654,784125,438243,204345,141537,16054,983,96492
Алматинская,920128,876066,550131,195151,130784,5459,1340,37263
Атырауская,813090,728943,439404,174135,115404,31343,601,52203
Западно-Казахстанская,763769,693455,428770,149274,115411,6122,1120,63072
Жамбылская,738993,709690,434168,172338,103184,7009,806,21488
Жетісу,911092,847755,523729,192508,131518,18743,1175,43419
Карагандинская,1217561,1034928,500209,330151,204568,49861,2275,130497
Костанайская,907955,822289,420204,242413,159672,29927,2031,53708
Кызылординская,765720,677186,376207,185726,115253,18518,909,69107
Мангистауская,811415,806777,474179,191086,141512,3178,408,1052
Павлодарская,1026294,940126,525810,263288,151028,21362,1375,63431
Северо-Казахстанская,1066863,954466,477436,324801,152229,40811,1932,69584
Туркестанская,676205,648111,402949,157032,88130,8620,1044,18430
Ұлытау,1063365,857490,477737,241944,137809,40571,849,164455
Восточно-Казахстанская,1168940,1062980,595872,290581,176527,35200,1968,68792
г. Астана,1112063,1008421,502461,242797,263163,15752,2546,85344
г. Алматы,1270051,1235840,620173,322939,292728,9293,2291,22627
г. Шымкент,694485,680646,352594,200790,127262,5179,1716,6944
