Регионы,Потребительские_расходы,Продовольственные_товары,Непродовольственные_товары,Платные_услуги,Материальная_помощь_родственникам_и_знакомым_алименты,Налоги_платежи_и_другие_выплаты,Погашение_кредита_и_долга,Доход_от_трудовой_деятельности,Доход_от_работы_по_найму,Доход_от_самостоятельной_занятости_и_предпринимательства,Пенсии,Пособия,АСП_и_жилищная_помощь,Стипендия,Матеральная_помощь_от_родственников_и_знакомых_алименты,Доходы_от_собственности,Прочие_доходы,Доля_безработицы_на_населения
Абай,0.8884775125950906,0.8529032547397217,0.7890887177474195,0.7744406103676478,0.9293318767002977,0.38493919550982225,0.7818461105365263,0.2770313024727363,0.40102857359142824,0.20165481344474542,0.5897133726155998,0.4382214060860441,0.04492600422832981,1.0,0.5793740658544319,0.0,0.5981270358306189,0.6514626957061284
Акмолинская,0.6797418538135773,0.6312640379102994,0.4136457371584005,0.7966060274293981,0.5980549664760191,0.5149672591206735,0.4503283293452385,0.42570479169980735,0.5105743421197889,0.32158377595364557,0.5191770698092479,0.39143931444561036,0.2357293868921776,0.3064118372379778,0.3816145054878693,0.5905610121524888,0.9146986970684039,0.8694194080032636
Актюбинская,0.7685770142361531,0.679911353282582,0.6955334287941529,0.7389661678022268,0.72418225049804,0.7310570626753976,0.41592259628036204,0.5189741414355656,0.6065698127371538,0.2552930296507869,0.17410166783181863,0.487517488632389,0.12315010570824525,0.38054870530209617,0.258043087700228,0.013817213251206925,0.4001425081433225,0.4788065220387119
Алматинская,0.6121426711970993,0.2617619469390348,0.7463635509213443,0.7915228887867917,0.9511385300858985,0.5640785781103835,0.7783945215204128,0.25517966664899167,0.322745323160096,0.506715007079197,0.2683751123539399,0.18304039874081846,0.26004228329809725,0.18210542540073982,0.0348445732747558,0.03088063925420343,0.2602809446254072,0.4253254824746102
Атырауская,0.8624672255410232,0.6755724477630906,0.8625530056336627,0.8666946890976451,0.39667544930702825,0.9097287184284378,0.6869641316254903,0.3977959241387843,0.5476421030718425,0.0,0.18345750524318385,0.34537862889122073,0.0,0.04176942046855733,0.023566888597007715,0.12452139170967205,0.21009771986970685,0.5693264398942894
Западно-Казахстанская,0.9228487959586816,0.7153139820389492,1.0,0.8666604756644738,0.9369363579889896,0.6669784845650141,0.6204476050011322,0.43333156583063787,0.5194454345021622,0.31086267994664,0.33725756516528516,0.3538168940188877,0.09355179704016914,0.5756781750924784,0.20201699956217825,0.2373064757782587,0.0949714983713355,0.7118670718604606
Жамбылская,0.8952255206055852,0.6951405005624507,0.8724879337892602,0.9264215681482713,0.9179358653042864,0.813844714686623,0.8749349767140138,0.17111900595648408,0.26001526616431314,0.44301860232917856,0.13647857784879655,0.4648041273172438,0.7531712473572939,0.03976572133168927,0.034512432628289326,0.030547694356583985,0.2997760586319218,0.47689326394996234
Жетісу,0.6603128312538602,0.36043187245635866,0.7609756906627155,0.7879353659371059,0.666580982370456,0.6412535079513564,0.7407207945998543,0.14872651430793432,0.260764380632158,0.3354475443779718,0.37347048836512536,0.25498426023084997,0.13953488372093023,0.17447595561035759,0.27828856983257094,0.0851506575661728,0.39118485342019543,0.6347964790270305
Карагандинская,0.34184462566931356,0.44833114706311034,0.0,0.4308937526271029,0.0,0.12675397567820393,0.2078174819311763,0.8560475104724534,0.8878189256279156,0.356537822553585,0.41676220912813344,0.8537513116474291,0.22832980972515857,0.6594482120838471,1.0,0.7974862660229732,0.6470887622149837,0.33378309412298746
Костанайская,0.7036423249490836,0.7473269576461531,0.48506996467212526,0.6503289377217764,0.42700769016558493,0.24087932647333957,0.6777537744105065,0.602877494388179,0.6634110414741311,0.3488202702370917,0.6206211924498153,0.22903550192374955,0.7801268498942917,0.32390567200986436,0.5334329755272733,0.43016480772432164,0.8973941368078175,1.0
Кызылординская,0.9505299211030934,0.9117531644860023,0.7984707840134456,0.8674327217274851,0.671400724032303,0.7656688493919551,0.5835143785609811,0.19733460593527405,0.31813550928744233,0.26279779685569077,0.18147208628782582,0.8590197621545995,0.5359408033826638,0.6334771886559802,0.14522094901641078,0.054103545863159644,0.10097719869706841,0.17852170283588986
Мангистауская,0.730035441504503,0.5456108289514499,0.7688373867324204,0.7390883586349818,1.0,1.0,1.0,0.62459480000707,0.7408284732889437,0.04763112882501698,0.0,1.0,0.14376321353065538,0.17601726263871764,0.12257499584824191,0.13093058098884636,0.3018118892508143,0.4779199280081162
Павлодарская,0.503146858501112,0.3526547300049705,0.36966004522410256,0.6925776400551324,0.6104791894265579,0.5477081384471468,0.6182505829146344,0.6200505505770896,0.6861967379613362,0.31009337992781677,0.25386597423349644,0.3497726477789437,0.19027484143763213,0.2909987669543773,0.354212902154385,0.617363076410854,0.5162866449511401,0.7295256656390572
Северо-Казахстанская,0.478747858281623,0.533438722769724,0.02957811109206809,0.686707592449584,0.19386072017650965,0.2871842843779233,0.5805952155101192,0.4228803223924916,0.510227383839945,0.31030616503940617,0.7479676420653151,0.4126880027981812,0.0,0.28945745992601724,0.5328894726512372,0.6944398202097553,0.9052320846905537,0.8695449838606859
Туркестанская,1.0,0.8118125861894991,0.9571089746070535,1.0,0.8834265150054623,0.7025257249766137,0.893649443400672,0.0,0.0,1.0,0.017800858883451513,0.5979144805876181,0.5105708245243129,0.23928791615289766,0.00223440071259266,0.02663559180955552,0.0,0.1660683322437204
Ұлытау,0.643749074828705,0.5323138213387448,0.48766288693421495,0.757187264782647,0.19900177794914636,0.793732460243218,0.0,0.855640984852502,0.9489135474591615,0.03761386049480722,0.35007290522320983,0.8564839104582022,0.0,0.1901972872996301,0.5188489816869726,0.4060263026469119,0.5134364820846905,0.16213885754212834
Восточно-Казахстанская,0.29411514490521995,0.09081803878480747,0.2187674497033896,0.56794787827838,0.3140543666859456,0.27034611786716556,0.5854421277455126,0.5739770578150132,0.6978293028346492,0.036394438124544765,1.0,0.25703917453655123,0.01638477801268499,0.22996300863131935,0.3377266482479581,0.1641418345263859,0.9616245928338762,0.6654417487990109
г. Астана,0.3869453438574581,0.4399149410080761,0.48294697501617123,0.1445028788160197,0.7306514148619412,0.0,0.48414655789673383,1.0,1.0,0.44093167142705153,0.4330410466393688,0.3272560335781742,1.0,0.24475955610357583,0.7817232060630765,0.8042284001997669,0.7849144951140065,0.36360227323718863
г. Алматы,0.0,0.0,0.03987239947588693,0.0,0.8690101321680269,0.11927034611786716,0.8679644804562952,0.6411121126959719,0.7387246444466173,0.13502852138899574,0.7157095775491861,0.0,0.026955602536997886,0.36713933415536376,0.2452254782070444,1.0,1.0,0.6321527708906266
г. Шымкент,0.9446428541045278,1.0,0.715187668968415,0.8087371333053109,0.9571364308206414,0.3882132834424696,0.9639419104912395,0.08138112660621807,0.11645812371270593,0.7724754274116328,0.1600159792270049,0.28720706540748514,0.5935517970401691,0.0,0.0,0.10337939071083736,0.42650651465798045,0.0
