Регионы,Всего_м,Всего_ж,15_м,15_ж,16-24_м,16-24_ж,25-28_м,25-28_ж,29-34_м,29-34_ж,35-44_м,35-44_ж,45-54_м,45-54_ж,55-64_м,55-64_ж,65 и старше_м,65 и старше_ж,Из них в трудоспособном возрасте_м,Из них в трудоспособном возрасте_ж
Абай,7126,7951,0,0,876,959,224,326,1497,1944,2311,1522,1125,2171,1093,1029,0,0,7126,7951
Акмолинская,10610,10414,0,0,386,557,493,620,1793,2821,2727,3262,3005,1943,2206,1211,0,0,10596,10388
Актюбинская,12732,8752,0,0,582,549,107,755,4032,3086,3238,1836,2727,1921,2046,605,0,0,12732,8752
Алматинская,12961,21168,0,0,1657,1760,460,1394,4242,7390,3032,4727,1234,2576,2336,3321,0,0,12961,20581
Атырауская,8307,8302,0,0,274,122,692,602,1592,2406,2346,2935,1472,1080,1931,1157,0,0,8307,8302
Западно-Казахстанская,7998,9380,0,0,689,1001,387,692,1589,1277,1811,2359,2181,2166,1341,1885,0,0,7998,9380
Жамбылская,14428,13742,0,0,1021,934,874,1283,5680,5022,2693,2735,2833,2634,1327,1134,0,0,14420,13699
Жетісу,6474,10684,0,0,548,1962,64,679,1618,1880,1839,2169,1020,1853,1385,2141,0,0,6415,10328
Карагандинская,8107,16669,0,0,686,1335,466,1467,735,3347,2608,4971,1320,2124,2292,3425,0,0,8022,15072
Костанайская,12088,11097,0,0,432,537,474,573,2192,3250,3410,3451,4057,2427,1523,859,0,0,12088,11097
Кызылординская,9089,7939,0,0,461,1165,597,854,2666,3145,1875,1715,2083,783,1407,277,0,0,9089,7939
Мангистауская,5030,12716,0,0,296,363,229,1206,2363,6514,971,2999,599,1454,572,180,0,0,5030,12716
Павлодарская,9667,9519,0,0,318,475,553,467,3092,2723,2055,2780,1619,1261,2030,1813,0,0,9667,9519
Северо-Казахстанская,7014,7235,0,0,326,626,256,208,1696,1344,1867,1948,1913,2184,956,925,0,0,7014,7235
Туркестанская,20037,23014,0,0,1037,941,2594,2208,4943,5463,5149,5719,3151,5280,3163,3403,0,0,20037,23014
Ұлытау,1407,3083,0,0,8,352,43,353,130,466,220,602,457,602,549,708,0,0,1367,2791
Восточно-Казахстанская,9347,8787,0,0,1218,1501,90,316,2852,1801,1834,1617,1488,1402,1865,2150,0,0,9347,8787
г. Астана,14660,15278,0,0,1712,1790,2132,2051,1970,3524,4178,3035,2279,2652,2389,2226,0,0,14660,15278
г. Алматы,19668,33367,0,0,1692,4988,2580,3303,4863,7599,7215,10809,1776,2111,1542,4557,0,0,19570,32801
г. Шымкент,11318,11105,0,0,430,375,1001,1301,2640,3292,3577,2048,2011,1564,1659,2525,0,0,11318,11105
